1.0,200,200,1.0,1.68
1.0,200,200,1.0,1.68
1.0,200,200,1.0,1.68
1.0,200,200,1.0,1.68
1.0,200,200,1.0,1.68
1.0,200,200,2.0,1.68
1.0,200,200,2.0,1.68
1.0,200,200,2.0,1.68
1.0,200,200,2.0,1.68
1.0,200,200,2.0,1.68
1.0,200,200,1.0,0.9
1.0,200,200,1.0,0.9
1.0,200,200,1.0,0.9
1.0,200,200,1.0,0.9
1.0,200,200,1.0,0.9
1.0,200,200,1.0,0.9
1.0,200,200,1.0,0.9
1.0,200,200,0.5,1.68
1.0,200,200,0.5,1.68
1.0,200,200,0.5,1.68
1.0,200,200,0.5,1.68
1.0,200,200,0.5,1.68
1.0,200,200,0.5,1.68
1.0,200,200,2.0,0.3
1.0,200,200,2.0,0.3
1.0,200,200,2.0,0.3
1.0,200,200,2.0,0.3
1.0,200,200,2.0,0.3
1.0,200,200,2.0,0.3
1.0,200,200,5.0,1.68
1.0,200,200,5.0,1.68
1.0,200,200,5.0,1.68
1.0,200,200,5.0,1.68
1.0,200,200,5.0,1.68
1.0,50,50,1.0,0.3
1.0,50,50,1.0,0.3
1.0,50,50,1.0,0.3
1.0,50,50,1.0,0.3
1.0,50,50,1.0,0.3
1.0,50,50,1.0,0.9
1.0,50,50,1.0,0.9
1.0,50,50,1.0,0.9
1.0,50,50,1.0,0.9
1.0,50,50,1.0,0.9
1.0,50,50,1.0,2.1
1.0,50,50,1.0,2.1
1.0,50,50,1.0,2.1
1.0,50,50,1.0,2.1
1.0,50,50,1.0,2.1
1.0,50,50,5.0,2.1
1.0,50,50,5.0,2.1
1.0,50,50,5.0,2.1
1.0,50,50,5.0,2.1
1.0,50,50,5.0,2.1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1.0,50,50,1.0,1.68
1.0,50,50,1.0,1.68
1.0,50,50,1.0,1.68
1.0,50,50,1.0,1.68
1.0,50,50,1.0,1.68
2.0303030303030303,67,33,1.0,1.68
2.0303030303030303,67,33,1.0,1.68
2.0303030303030303,67,33,1.0,1.68
2.0303030303030303,67,33,1.0,1.68
2.0303030303030303,67,33,1.0,1.68
0.4925373134328358,33,67,1.0,1.68
0.4925373134328358,33,67,1.0,1.68
0.4925373134328358,33,67,1.0,1.68
0.4925373134328358,33,67,1.0,1.68
0.4925373134328358,33,67,1.0,1.68
1.0,50,50,1.0,1.68
1.0,50,50,1.0,1.68
1.0,50,50,1.0,1.68
1.0,50,50,1.0,1.68
1.0,50,50,1.0,1.68
1.0,100,100,1.0,1.68
1.0,100,100,1.0,1.68
1.0,100,100,1.0,1.68
1.0,100,100,1.0,1.68
1.0,100,100,1.0,1.68
1.0,10,10,1.0,1.68
1.0,10,10,1.0,1.68
1.0,10,10,1.0,1.68
1.0,10,10,1.0,1.68
1.0,10,10,1.0,1.68
1.0,10,10,1.0,1.68
1.0,25,25,1.0,1.68
1.0,25,25,1.0,1.68
1.0,25,25,1.0,1.68
1.0,25,25,1.0,1.68
1.0,25,25,1.0,1.68
1.0,25,25,1.0,1.68
1.0,50,50,1.0,2.1
1.0,50,50,1.0,2.1
1.0,50,50,1.0,2.1
1.0,50,50,1.0,2.1
1.0,50,50,1.0,2.1
1.0,50,50,1.0,2.1
1.0,75,75,1.0,1.68
1.0,75,75,1.0,1.68
1.0,75,75,1.0,1.68
1.0,75,75,1.0,1.68
1.0,75,75,1.0,1.68
1.0,75,75,1.0,1.68
1.0,100,100,1.0,0.9
1.0,100,100,1.0,0.9
1.0,100,100,1.0,0.9
1.0,100,100,1.0,0.9
1.0,100,100,1.0,0.9
1.0,100,100,1.0,0.9
